CustomerKey,Full name,Gender,Date FirstPurchase,BirthDate,Customer City
11070,WillieRaji,Male,2011-04-28,1960-10-02,Sunbury
11071,LindaSerrano,Feamle,2013-03-01,1960-12-23,Hawthorne
11072,CaseyLuo,Feamle,2011-03-31,1960-08-05,St. Leonards
11073,AmyYe,Feamle,2013-03-23,1962-02-11,Springwood
11074,LeviArun,Male,2013-03-23,1962-02-25,Cloverdale
11075,FeliciaJimenez,Feamle,2011-04-28,1963-05-16,Bendigo
11076,BlakeAnderson,Male,2011-04-21,1963-01-10,Wollongong
11077,LeahYe,Feamle,2011-04-15,1963-03-19,Melton
11078,GinaMartin,Feamle,2013-02-15,1985-01-06,Cliffside
11079,DonaldGonzalez,Male,2013-03-15,1970-03-07,Geelong
11080,DamienChander,Male,2011-04-10,1965-01-13,Perth
11081,SavannahBaker,Feamle,2013-02-12,1972-01-21,Concord
11082,AngelaButler,Feamle,2013-01-22,1972-02-01,Fremont
11083,AlyssaCox,Feamle,2013-01-06,1977-03-11,Lincoln Acres
11084,LucasPhillips,Male,2013-01-04,1963-03-12,Lebanon
11085,EmilyJohnson,Feamle,2013-12-06,1963-01-16,Newport Beach
11086,RyanBrown,Male,2013-07-02,1963-06-22,Santa Monica
11087,TamaraLiang,Feamle,2013-02-25,1963-04-02,Chula Vista
11088,HunterDavis,Male,2013-01-13,1963-05-25,San Diego
11089,AbigailPrice,Feamle,2012-12-29,1962-08-05,Long Beach
11090,TrevorBryant,Male,2011-08-07,1968-12-13,Los Angeles
11091,DaltonPerez,Male,2013-01-29,1962-10-02,Haney
11092,CherylDiaz,Feamle,2011-04-08,1972-11-02,East Brisbane
11093,AimeeHe,Feamle,2011-04-07,1978-09-06,Wollongong
11094,CedricMa,Male,2013-04-07,1967-09-29,Cranbourne
11095,ChadKumar,Male,2011-04-01,1968-02-29,Port Macquarie
11096,AndrésAnand,Male,2011-04-11,1968-02-07,North Sydney
11097,EdwinNara,Male,2011-04-04,1972-10-23,Warrnambool
11098,MalloryRubio,Feamle,2013-02-11,1966-10-29,Rhodes
11099,AdamRoss,Male,2011-04-07,1966-09-05,Port Macquarie
11100,LatashaNavarro,Feamle,2011-04-16,1966-03-15,Cloverdale
11101,AbbySai,Feamle,2011-04-29,1970-11-05,Cranbourne
11102,JuliaNelson,Feamle,2013-07-16,1970-10-19,Sydney
11103,CassieChande,Feamle,2011-04-15,1981-04-12,Darlinghurst
11104,EdgarSara,Male,2011-05-04,1975-03-08,Gold Coast
11105,CandaceFernandez,Feamle,2011-05-14,1970-06-27,Matraville
11106,JessieLiu,Male,2011-05-18,1970-03-11,Warrnambool
11107,BiancaLin,Feamle,2011-05-01,1976-03-04,St. Leonards
11108,KariAlvarez,Feamle,2011-05-03,1969-01-10,Port Macquarie
11109,RubenKapoor,Male,2011-05-10,1980-04-30,South Melbourne
11110,CurtisYang,Male,2011-05-01,1967-12-04,Darlinghurst
11111,MeredithGutierrez,Feamle,2011-05-20,1967-08-23,Geelong
11112,CrystalWang,Feamle,2011-05-25,1968-03-08,Hervey Bay
11113,MichealBlanco,Male,2013-02-01,1973-02-17,Perth
11114,LeslieMoreno,Feamle,2013-03-18,1967-11-25,Rhodes
11115,AlvinCai,Male,2013-02-10,1967-08-12,St. Leonards
11116,ClintonCarlson,Male,2013-03-15,1979-04-02,Sydney
11117,AprilDeng,Feamle,2011-05-06,1966-08-21,Matraville
11118,AlvinZeng,Male,2013-07-10,1962-12-31,Lavender Bay
11119,EvanJames,Male,2013-02-03,1940-10-07,Port Macquarie
11120,BethJiménez,Feamle,2011-05-14,1942-02-06,Sydney
11121,OrlandoSuarez,Male,2013-06-24,1966-05-18,Newcastle
11122,ByronVazquez,Male,2013-02-21,1965-09-30,North Sydney
11123,PhilipAlvarez,Male,2013-04-17,1965-12-18,Sunbury
11124,RossJordan,Male,2011-05-05,1968-07-23,Warrnambool
11125,DanaNavarro,Feamle,2013-01-31,1961-10-06,Seaford
11126,ShaunCarson,Male,2011-05-28,1954-10-05,North Ryde
11127,JanEdwards,Feamle,2013-04-10,1981-04-19,San Gabriel
11128,SamanthaLong,Feamle,2013-06-19,1981-06-03,Renton
11129,JuliaWright,Feamle,2011-08-06,1981-02-01,Sedro Woolley
11130,CarolineRussell,Feamle,2013-12-09,1985-07-05,Lebanon
11131,AmandaRivera,Feamle,2013-10-18,1985-09-09,Haney
11132,MelissaRichardson,Feamle,2013-04-09,1986-04-25,Langford
11133,AngelaGriffin,Feamle,2013-12-30,1986-03-08,Lake Oswego
11134,LarryTownsend,Male,2011-05-03,1957-02-22,Perth
11135,MarcusHarris,Male,2013-04-18,1985-05-02,Burlingame
11136,BriannaMorgan,Feamle,2013-01-03,1984-04-24,Metchosin
11137,JasmineTaylor,Feamle,2013-07-31,1984-01-17,Spokane
11138,LaurenDavis,Feamle,2013-09-19,1984-03-14,Glendale
11139,TanyaMoreno,Feamle,2013-09-14,1949-11-05,Cloverdale
11140,JavierAlvarez,Male,2013-03-19,1982-08-11,Burbank
11141,NicoleRamirez,Feamle,2013-05-16,1982-12-19,Daly City
11142,EduardoPatterson,Male,2013-02-13,1983-02-11,Langford
11143,JonathanHenderson,Male,2013-06-15,1982-08-04,Lakewood
11144,EdwardHernandez,Male,2013-01-25,1985-03-08,Ballard
11145,JasmineColeman,Feamle,2013-01-25,1985-06-06,Beaverton
11146,KarlaGoel,Feamle,2013-02-05,1945-02-22,Matraville
11147,ErnestWu,Male,2011-05-13,1944-08-04,Warrnambool
11148,RossVazquez,Male,2013-03-07,1947-02-13,East Brisbane
11149,TheodoreGill,Male,2013-06-04,1946-10-18,Hervey Bay
11150,RussellShen,Male,2013-03-27,1946-09-12,Sunbury
11151,MelindaGill,Feamle,2011-05-15,1947-08-25,Sydney
11152,JamesWilliams,Male,2013-01-09,1981-07-09,Puyallup
11153,AngelaJames,Feamle,2013-03-29,1981-12-21,Renton
11154,MeganWalker,Feamle,2013-01-10,1982-02-18,Woodburn
11155,HunterRobinson,Male,2013-01-06,1981-07-25,Burbank
11156,MariaRoberts,Feamle,2013-01-08,1981-08-06,Lakewood
11157,HannahLong,Feamle,2013-07-24,1980-12-08,Tacoma
11158,JasonWright,Male,2013-01-19,1981-04-06,San Gabriel
11159,BriannaHughes,Feamle,2013-09-08,1981-03-16,Woodland Hills
11160,MauriceTang,Male,2013-02-21,1979-07-08,Concord
11161,EmilyWood,Feamle,2013-06-01,1979-10-20,Concord
11162,ChaseCox,Male,2013-02-18,1979-09-02,La Jolla
11163,GabrielWang,Male,2013-05-01,1980-06-18,Spring Valley
11164,DevinBrooks,Male,2013-04-27,1979-11-02,Torrance
11165,JocelynAlexander,Feamle,2013-05-25,1979-01-15,Oakland
11166,AshleyMartinez,Feamle,2013-10-14,1977-10-22,Olympia
11167,JasmineBarnes,Feamle,2013-01-07,1978-01-29,Issaquah
11168,DavidRodriguez,Male,2013-01-15,1973-11-12,Oakland
11169,BryceRichardson,Male,2013-05-26,1973-12-20,Coronado
11170,CarolHoward,Feamle,2013-08-26,1973-08-04,Burien
11171,JonathanHill,Male,2011-08-20,1978-10-05,Woodland Hills
11172,GabrielleAdams,Feamle,2013-05-03,1973-05-20,Lynnwood
11173,SarahThomas,Feamle,2013-03-02,1973-02-28,W. Linn
11174,NicholasRobinson,Male,2013-07-13,1973-01-09,Los Angeles
11175,LuisWang,Male,2011-08-28,1968-09-01,Beverly Hills
11176,MasonRoberts,Male,2013-02-02,1979-01-21,Haney
11177,JoseFlores,Male,2013-03-29,1948-01-01,San Diego
11178,NathanJohnson,Male,2013-02-21,1954-08-20,Lakewood
11179,MollyRodriguez,Feamle,2013-03-12,1959-12-08,Beverly Hills
11180,AprilAnand,Feamle,2013-03-17,1948-07-01,Chula Vista
11181,DevinMartin,Male,2013-05-07,1960-02-01,Los Angeles
11182,StephanieTorres,Feamle,2013-08-28,1950-02-22,Sedro Woolley
11183,JasmineLee,Feamle,2013-04-30,1950-01-12,Santa Cruz
11184,MeghanHernandez,Feamle,2013-08-10,1955-11-13,Concord
11185,AshleyHenderson,Feamle,2013-02-21,1950-04-07,Metchosin
11186,SarahPrice,Feamle,2013-10-18,1949-11-18,Palo Alto
11187,JenniferCooper,Feamle,2013-04-03,1949-08-21,Burien
11188,CatherineMorris,Feamle,2013-11-01,1950-03-06,San Gabriel
11189,LawrenceBlanco,Male,2011-08-26,1950-01-12,Bellingham
11190,CarsonBryant,Male,2013-08-28,1949-12-20,Beverly Hills
11191,KristiPerez,Feamle,2011-08-11,1951-06-17,Colma
11192,JamesBrown,Male,2013-06-23,1951-03-13,Seattle
11193,IanGray,Male,2013-02-25,1950-08-13,Woodburn
11194,JacquelinePrice,Feamle,2013-03-13,1950-12-08,Palo Alto
11195,MeganHenderson,Feamle,2013-04-14,1951-08-10,Renton
11196,AlfredoRomero,Male,2013-03-03,1951-12-05,Beaverton
11197,AndreaMorris,Feamle,2013-05-02,1951-12-16,Seattle
11198,BrookeSanders,Feamle,2013-02-05,1952-05-25,Santa Cruz
11199,JacquelineBennett,Feamle,2013-03-18,1957-11-02,Burlingame
11200,JasonGriffin,Male,2013-02-07,1953-05-21,Victoria
11201,AmandaFoster,Feamle,2013-07-01,1953-02-14,Santa Monica
11202,AlexiaPrice,Feamle,2013-09-15,1958-08-22,Lakewood
11203,LuisDiaz,Male,2013-02-20,1959-08-18,Port Hammond
11204,DestinyRivera,Feamle,2013-08-09,1953-11-29,Beaverton
11205,AbbyFernandez,Feamle,2013-07-27,1954-01-21,Burien
11206,BlakeFlores,Male,2013-05-11,1954-03-24,Lynnwood
11207,DanielleCox,Feamle,2013-01-31,1954-01-16,Renton
11208,MariaReed,Feamle,2013-03-04,1953-08-03,Glendale
11209,AllisonEvans,Feamle,2013-03-25,1953-07-12,Lincoln Acres
11210,EdwardWood,Male,2013-05-06,1953-12-06,West Covina
11211,SamanthaRussell,Feamle,2013-02-01,1960-10-08,Haney
11212,ChloeCampbell,Feamle,2013-01-30,1955-05-05,Metchosin
11213,StephanieMurphy,Feamle,2013-03-28,1954-11-11,Edmonds
11214,CharlesMiller,Male,2013-08-14,1955-05-07,Milwaukie
11215,AnaPerry,Feamle,2013-02-15,1961-06-17,Royal Oak
11216,JasmineTorres,Feamle,2011-08-15,1955-11-17,Portland
11217,NatalieAdams,Feamle,2011-08-10,1955-08-11,Portland
11218,OliviaBrown,Feamle,2013-02-28,1961-09-07,Tacoma
11219,CharlesCook,Male,2013-10-29,1956-05-31,Woodburn
11220,EricaHuang,Feamle,2013-03-14,1961-02-19,Colma
11221,NathanPerry,Male,2013-04-07,1955-12-08,Lakewood
11222,AlexandraRivera,Feamle,2013-11-01,1956-02-14,Santa Monica
11223,HaileyPatterson,Feamle,2013-01-29,1957-03-15,Langley
11224,TiffanyLi,Feamle,2011-08-07,1957-03-05,Burien
11225,MadisonLee,Feamle,2013-06-22,1962-02-12,Renton
11226,SydneyRoss,Feamle,2013-02-21,1962-09-23,W. Linn
11227,MarshallChavez,Male,2011-08-03,1962-08-08,Colma
11228,AshleyJones,Feamle,2013-10-25,1956-10-16,El Cajon
11229,AdrianStewart,Male,2013-07-27,1957-06-01,Redwood City
11230,AmberTurner,Feamle,2013-07-16,1956-09-30,Santa Monica
11231,DennisZhang,Male,2013-02-10,1963-11-11,Bremerton
11232,HaileyBryant,Feamle,2013-09-20,1958-03-27,Everett
11233,ToddLi,Male,2013-02-08,1963-09-06,Berkeley
11234,AnnaGriffin,Feamle,2013-02-08,1958-05-19,Long Beach
11235,AngelStewart,Male,2013-07-04,1957-08-07,Ballard
11236,JeremyButler,Male,2013-10-03,1957-09-02,Bellingham
11237,ClarenceAnand,Male,2011-09-05,1964-03-22,Solingen
11238,MayraPrasad,Feamle,2011-01-06,1964-02-07,Birmingham
11239,LatoyaGoel,Feamle,2011-01-19,1969-10-02,London
11240,AnneHernandez,Feamle,2011-02-27,1964-06-09,Watford
11241,LisaCai,Feamle,2012-09-10,1974-04-06,Les Ulis
11242,LarryMunoz,Male,2012-09-19,1963-05-11,Versailles
11243,RobinAlvarez,Feamle,2011-02-21,1963-04-08,Esher-Molesey
11244,AlexisColeman,Feamle,2011-02-12,1968-11-22,Runcorn
11245,RickyVazquez,Male,2011-09-26,1962-04-26,Hamburg
11246,LatashaRubio,Feamle,2011-10-03,1962-04-08,Hamburg
11247,ClaudiaZhou,Feamle,2011-02-18,1961-12-04,Lancaster
11248,TristanAlexander,Male,2013-07-14,1966-03-22,Saint-Denis
11249,CindyPatel,Feamle,2011-10-09,1966-07-09,Sulzbach Taunus
11250,ShannonLiu,Feamle,2011-03-17,1966-03-08,Woolston
11251,XavierLong,Male,2013-10-18,1938-01-01,Haney
11252,NicholasThompson,Male,2011-08-14,1937-12-05,Lemon Grove
11253,JoséHernandez,Male,2013-03-01,1949-08-24,Victoria
11254,JohnathanVance,Male,2013-11-23,1938-08-31,Burien
11255,ColinLin,Male,2013-02-23,1938-10-02,Burien
11256,KatelynHernandez,Feamle,2013-04-15,1939-03-20,Lynnwood
11257,JacquelinePowell,Feamle,2011-08-24,1938-07-06,Newport Beach
11258,XavierHill,Male,2013-05-21,1938-12-26,Palo Alto
11259,VictoriaStewart,Feamle,2011-09-04,1970-09-24,Salem
11260,KatelynKelly,Feamle,2013-02-05,1976-04-08,Burlingame
11261,StephanieCollins,Feamle,2011-09-27,1970-10-22,San Diego
11262,JenniferSimmons,Feamle,2013-02-27,1975-05-01,Port Hammond
11263,TrinityRichardson,Feamle,2011-08-29,1970-03-11,Burien
11264,EduardoMartin,Male,2013-01-02,1969-12-15,Issaquah
11265,ElizabethJones,Feamle,2013-01-03,1970-01-10,Kirkland
11266,TaylorHoward,Feamle,2011-09-10,1969-11-02,Port Orchard
11267,DavidDiaz,Male,2011-09-17,1975-09-29,Burlingame
11268,KatelynCarter,Feamle,2013-05-29,1969-10-31,Coronado
11269,RyanFoster,Male,2013-08-22,1975-10-10,Daly City
11270,RobertLee,Male,2011-09-10,1975-05-01,Lakewood
11271,DanielleReed,Feamle,2011-09-27,1969-12-03,San Francisco
11272,LaurenMartinez,Feamle,2011-09-19,1962-05-10,Beverly Hills
11273,NathanLal,Male,2013-05-14,1962-03-31,La Jolla
11274,KyleFoster,Male,2011-08-29,1939-10-10,Bellingham
11275,JennyRai,Feamle,2011-08-30,1939-07-18,Colma
11276,NancyChapman,Feamle,2013-01-29,1974-09-15,Cliffside
11277,CharlesJackson,Male,2013-02-02,1968-12-07,Royal Oak
11278,JonathanPhillips,Male,2011-09-16,1969-02-16,Edmonds
11279,AmandaCook,Feamle,2013-03-03,1974-09-08,Everett
11280,RobertCollins,Male,2013-07-01,1969-02-17,Lynnwood
11281,MeganBarnes,Feamle,2011-09-13,1974-10-06,Burbank
11282,ChristianThomas,Male,2011-08-31,1967-07-16,Burien
11283,ArturoLal,Male,2013-05-29,1968-04-24,Berkeley
11284,TheresaSerrano,Feamle,2013-02-06,1967-09-24,Chula Vista
11285,JeremyAnderson,Male,2013-07-27,1973-03-15,Fremont
11286,HunterGriffin,Male,2011-09-21,1967-08-31,Torrance
11287,HenryGarcia,Male,2013-01-29,1966-07-16,Cliffside
11288,CindySanchez,Feamle,2013-03-05,1978-03-12,Burbank
11289,MariaCarter,Feamle,2011-09-08,1972-03-03,Downey
11290,KatelynSanchez,Feamle,2011-09-20,1972-08-14,Lakewood
11291,JennaWright,Feamle,2011-09-04,1972-05-01,Lemon Grove
11292,SethPhillips,Male,2011-09-15,1967-05-05,San Gabriel
11293,LukeLong,Male,2013-02-24,1960-11-23,Port Orchard
11294,DaltonClark,Male,2013-09-25,1961-03-02,Issaquah
11295,TaylorLewis,Feamle,2011-09-25,1959-11-13,Concord
11296,HaleyRichardson,Feamle,2011-09-01,1941-04-05,Everett
11297,NoahColeman,Male,2011-09-26,1940-08-01,Burbank
11298,JonLuo,Male,2011-09-12,1940-08-30,Chula Vista
11299,OrlandoVazquez,Male,2011-09-26,1941-09-29,Burbank
11300,FernandoBarnes,Male,2013-01-31,1965-08-31,N. Vancouver
11301,CameronRodriguez,Male,2013-06-09,1965-12-07,Ballard
11302,SpencerRussell,Male,2011-09-06,1971-12-09,Corvallis
11303,JuliaColeman,Feamle,2011-09-02,1966-04-10,Edmonds
11304,JuliaGarcia,Feamle,2013-03-20,1971-03-14,Portland
11305,SeanEvans,Male,2013-03-25,1965-12-17,Chula Vista
11306,MicahZhou,Male,2013-06-30,1965-12-20,Coronado
11307,HunterRodriguez,Male,2011-09-04,1965-10-31,Daly City
11308,IanGonzales,Male,2013-09-07,1959-09-02,Oregon City
11309,VictoriaLewis,Feamle,2013-07-09,1959-12-10,Beaverton
11310,ErinSanders,Feamle,2013-08-12,1964-07-05,San Francisco
11311,GabrielleLopez,Feamle,2013-04-18,1959-02-21,Lynnwood
11312,SaraRichardson,Feamle,2013-05-17,1958-10-01,Lynnwood
11313,TrevorJenkins,Male,2013-05-07,1958-08-27,Port Orchard
11314,MyaFlores,Feamle,2013-02-25,1970-06-16,Issaquah
11315,HaileyWard,Feamle,2013-05-20,1959-03-31,Port Orchard
11316,LukeAllen,Male,2013-01-12,1959-05-17,Langford
11317,VictoriaRussell,Feamle,2011-09-01,1963-09-14,Salem
11318,JessicaWilson,Feamle,2013-10-17,1958-04-25,Edmonds
11319,JadeBailey,Feamle,2011-09-09,1948-04-23,Oakland
11320,MorganHill,Feamle,2013-06-15,1942-12-24,Glendale
11321,TerranceRaman,Male,2013-02-23,1944-01-05,Burien
11322,SydneyGarcia,Feamle,2013-03-24,1943-09-12,Bremerton
11323,JosePatterson,Male,2011-09-10,1943-12-18,Daly City
11324,ZacharyAnderson,Male,2011-09-26,1944-11-10,Glendale
11325,ElijahRoss,Male,2011-09-19,1944-12-29,Seattle
11326,RafaelXie,Male,2011-09-15,1944-12-23,Beverly Hills
11327,JaimeMoreno,Male,2011-09-26,1945-09-01,Burbank
11328,JulianGriffin,Male,2013-01-05,1945-06-30,Newton
11329,AndyAlvarez,Male,2011-09-25,1946-01-22,Concord
11330,RyanThompson,Male,2013-02-12,1945-11-10,Oak Bay
11331,SamanthaJenkins,Feamle,2013-02-07,1974-01-03,Shawnee
11332,DeannaRamos,Feamle,2011-10-15,1968-04-02,Berlin
11333,EmilyMiller,Feamle,2011-03-21,1968-01-07,Newcastle upon Tyne
11334,NicoleBrown,Feamle,2011-03-04,1966-09-19,Stoke-on-Trent
11335,CarlaRaman,Feamle,2011-10-23,1977-12-18,Hof
11336,ShaunRaji,Male,2012-09-27,1973-03-08,Paris
11337,JeromeRomero,Male,2011-03-09,1967-03-21,Watford
11338,FrankNavarro,Male,2011-10-11,1972-08-06,Bonn
11339,DennisShe,Male,2012-10-07,1967-01-05,Paris
11340,MelodyMunoz,Feamle,2012-10-27,1947-04-03,Paris
11341,RandyZeng,Male,2011-04-11,1942-02-18,Cheltenham
11342,MarshallWang,Male,2013-07-12,1973-03-07,Boulogne-sur-Mer
11343,ArthurCarlson,Male,2011-04-04,1975-03-09,Oxon
11344,JessieJimenez,Feamle,2011-05-13,1963-01-21,Oxford
11345,RobinRamos,Feamle,2012-10-22,1962-09-09,Tremblay-en-France
11346,DeannaGutierrez,Feamle,2012-10-01,1966-05-18,Paris
11347,RoyNavarro,Male,2013-03-16,1972-06-17,Braunschweig
11348,ShawnRai,Male,2013-03-31,1961-03-21,Paderborn
11349,MindyLuo,Feamle,2014-01-13,1965-08-30,München
11350,CaraZhou,Feamle,2013-02-05,1942-07-14,Peterborough
11351,AnneRamos,Feamle,2011-06-12,1950-04-02,London
11352,RaymondRodriguez,Male,2013-05-01,1945-09-04,Pantin
11353,CarrieOrtega,Feamle,2011-06-12,1946-12-09,Warrington
11354,DeannaSuarez,Feamle,2013-12-03,1947-08-23,Grevenbroich
11355,RobertoGutierrez,Male,2013-09-26,1948-06-26,Wokingham
11356,TerrenceCarson,Male,2011-05-10,1985-11-24,Lavender Bay
11357,RamonYe,Male,2011-06-18,1984-09-19,Caloundra
11358,CynthiaMalhotra,Feamle,2011-06-28,1984-05-10,Coffs Harbour
11359,JarrodPrasad,Male,2011-06-13,1984-03-03,Malabar
11360,TyroneSerrano,Male,2011-06-27,1984-01-30,Rockhampton
11361,CindyRamos,Feamle,2013-10-01,1982-10-26,Newcastle
11362,DamienShan,Male,2013-03-29,1983-05-11,Cranbourne
11363,JulianRoss,Male,2011-06-08,1983-04-19,Melbourne
11364,JenniferCollins,Feamle,2011-06-07,1985-03-22,Geelong
11365,BrittneySun,Feamle,2011-05-31,1984-12-06,Findon
11366,VirginiaPatel,Feamle,2013-06-24,1985-04-23,Seaford
11367,CalvinNara,Male,2013-07-07,1984-08-21,North Sydney
11368,EdwardMiller,Male,2011-06-24,1984-05-24,Rockhampton
11369,AshleeTang,Feamle,2013-07-05,1984-02-01,Findon
11370,AliciaXu,Feamle,2013-07-13,1983-09-29,South Melbourne
11371,LaceyJai,Feamle,2013-11-07,1983-11-24,Rockhampton
11372,WendyRomero,Feamle,2011-06-07,1983-11-12,Brisbane
11373,CarlyLuo,Feamle,2013-08-27,1954-09-16,Salzgitter
11374,JimmyOrtega,Male,2013-04-15,1948-12-25,Werne
11375,FranciscoMartinez,Male,2013-10-17,1948-11-05,High Wycombe
11376,LanceVazquez,Male,2013-10-15,1948-12-07,Liverpool
11377,DavidRobinett,Male,2013-02-28,1966-08-23,Solingen
11378,ShannonLiang,Feamle,2012-10-17,1965-11-19,Metz
11379,GaryVazquez,Male,2012-10-02,1976-05-13,Boulogne-Billancourt
11380,MitchellKumar,Male,2011-10-11,1964-08-29,Saarlouis
11381,MeredithRaman,Feamle,2011-06-12,1970-08-18,London
11382,EdwardPatterson,Male,2012-11-03,1974-07-15,Roubaix
11383,MarieGill,Feamle,2014-01-01,1966-02-25,Roissy en Brie
11384,TiffanyWang,Feamle,2013-08-02,1971-10-13,Les Ulis
11385,MiguelAllen,Male,2013-07-06,1971-08-08,York
11386,JaclynCai,Feamle,2013-11-02,1971-11-02,Darmstadt
11387,MeganRamirez,Feamle,2011-07-26,1964-11-29,Gateshead
11388,JosephMartin,Male,2011-07-03,1965-01-20,York
11389,KarlShan,Male,2013-11-17,1981-04-20,Duesseldorf
11390,ChristineRaji,Feamle,2013-11-07,1976-04-17,Saint Germain en Laye
11391,LindsayXie,Feamle,2013-10-26,1976-06-25,Salzgitter
11392,WillieZhao,Male,2013-03-29,1981-02-03,Frankfurt
11393,KurtPal,Male,2013-07-16,1974-07-17,Saint Ouen
11394,GeorgeMcDonald,Male,2011-07-04,1975-04-22,Milton Keynes
11395,BethGutierrez,Feamle,2011-11-14,1976-04-16,Frankfurt
11396,IanLopez,Male,2013-10-26,1975-04-04,Saarlouis
11397,LatoyaShan,Feamle,2013-07-07,1974-12-02,Paris
11398,ColinNath,Male,2011-07-03,1975-03-09,Newcastle upon Tyne
11399,BrendaMehta,Feamle,2013-04-13,1975-02-01,Paris
